[2025-05-14T15:58:20.672+0800][1.088s][901][902][debug] Clearing root 373: was 0x00000007fef0a8e0
[2025-05-14T15:58:20.673+0800][1.088s][901][902][trace] Restored java.lang.reflect.Type archived mirror 0x00000007fef0a8e0
[2025-05-14T15:58:20.673+0800][1.088s][901][902][debug] Clearing root 377: was 0x00000007fef0aa78
[2025-05-14T15:58:20.673+0800][1.088s][901][902][trace] Restored [Ljava.lang.reflect.Type; archived mirror 0x00000007fef0aa78
[2025-05-14T15:58:20.673+0800][1.088s][901][902][debug] Clearing root 380: was 0x00000007fef0ab90
[2025-05-14T15:58:20.673+0800][1.088s][901][902][trace] Restored java.lang.invoke.TypeDescriptor archived mirror 0x00000007fef0ab90
[2025-05-14T15:58:20.673+0800][1.089s][901][902][debug] Clearing root 739: was 0x00000007fef14518
[2025-05-14T15:58:20.673+0800][1.089s][901][902][trace] Restored [Ljava.lang.invoke.TypeDescriptor; archived mirror 0x00000007fef14518
[2025-05-14T15:58:20.673+0800][1.089s][901][902][debug] Clearing root 376: was 0x00000007fef0aa08
[2025-05-14T15:58:20.673+0800][1.089s][901][902][trace] Restored java.lang.invoke.TypeDescriptor$OfField archived mirror 0x00000007fef0aa08
[2025-05-14T15:58:20.673+0800][1.089s][901][902][debug] Clearing root 740: was 0x00000007fef14588
[2025-05-14T15:58:20.673+0800][1.089s][901][902][trace] Restored [Ljava.lang.invoke.TypeDescriptor$OfField; archived mirror 0x00000007fef14588
[2025-05-14T15:58:20.674+0800][1.089s][901][902][debug] Clearing root 19: was 0x00000007fef00958
[2025-05-14T15:58:20.674+0800][1.089s][901][902][trace] Restored java.lang.Class archived mirror 0x00000007fef00958
[2025-05-14T15:58:20.674+0800][1.089s][901][902][debug] Clearing root 244: was 0x00000007fef06a20
[2025-05-14T15:58:20.674+0800][1.089s][901][902][trace] Restored [Ljava.lang.Class; archived mirror 0x00000007fef06a20
[2025-05-14T15:58:20.674+0800][1.089s][901][902][debug] Clearing root 35: was 0x00000007fef010a8
[2025-05-14T15:58:20.674+0800][1.090s][901][902][trace] Restored java.lang.Cloneable archived mirror 0x00000007fef010a8
[2025-05-14T15:58:20.674+0800][1.090s][901][902][debug] Clearing root 2009: was 0x00000007fef37910
[2025-05-14T15:58:20.674+0800][1.090s][901][902][trace] Restored [Ljava.lang.Cloneable; archived mirror 0x00000007fef37910
[2025-05-14T15:58:20.674+0800][1.090s][901][902][debug] Clearing root 38: was 0x00000007fef01218
[2025-05-14T15:58:20.674+0800][1.090s][901][902][trace] Restored java.lang.ClassLoader archived mirror 0x00000007fef01218
